section	headword	months_on_list	german_missing	webpage	n_uc_s	n_lc_s	n_uc_r	n_lc_r	n_total_est	div_zero
== Substantive ==	Abdingung	24		https://de.wiktionary.org/wiki/Abdingung	0	0	0	0	0	
== Substantive ==	Abifez	4		https://de.wiktionary.org/wiki/Abifez	0	0	0	0	0	
== Substantive ==	Abiprüfung	4		https://de.wiktionary.org/wiki/Abipr%C3%BCfung	0	0	0	0	0	
== Substantive ==	Abischerz	4		https://de.wiktionary.org/wiki/Abischerz	0	0	0	0	0	
== Substantive ==	Abistreich	4		https://de.wiktionary.org/wiki/Abistreich	0	0	3	0	3	
== Substantive ==	Ablagesystem	15		https://de.wiktionary.org/wiki/Ablagesystem	0	0	3	0	3	
== Substantive ==	Ablaufleistung	14		https://de.wiktionary.org/wiki/Ablaufleistung	0	0	0	0	0	
== Substantive ==	Abofalle	5		https://de.wiktionary.org/wiki/Abofalle	0	0	1	0	1	
== Substantive ==	Abschiebedruck	14		https://de.wiktionary.org/wiki/Abschiebedruck	0	0	0	0	0	
== Substantive ==	Abschlussbescheinigung	4		https://de.wiktionary.org/wiki/Abschlussbescheinigung	0	0	0	0	0	
== Substantive ==	Ackerrain	5		https://de.wiktionary.org/wiki/Ackerrain	0	0	0	0	0	
== Substantive ==	Aerophon	4		https://de.wiktionary.org/wiki/Aerophon	0	0	4	0	4	
== Substantive ==	Affentanz	11		https://de.wiktionary.org/wiki/Affentanz	0	0	0	0	0	
== Substantive ==	Afterwärts	36		https://de.wiktionary.org/wiki/Afterw%C3%A4rts	0	0	0	0	0	
== Substantive ==	Agan	36		https://de.wiktionary.org/wiki/Agan	0	0	10	2	10	
== Substantive ==	Agglomerieren	36		https://de.wiktionary.org/wiki/Agglomerieren	0	0	0	1	0	
== Substantive ==	Agrarpilot	10		https://de.wiktionary.org/wiki/Agrarpilot	0	0	0	0	0	
== Substantive ==	Agrasel	4		https://de.wiktionary.org/wiki/Agrasel	0	0	0	0	0	
== Substantive ==	Airglow	4		https://de.wiktionary.org/wiki/Airglow	0	0	0	0	0	
== Substantive ==	Aitiologie	36		https://de.wiktionary.org/wiki/Aitiologie	0	0	3	0	3	
== Substantive ==	Akteneinsicht	21		https://de.wiktionary.org/wiki/Akteneinsicht	2	0	34	0	36	
== Substantive ==	Aktuar	36		https://de.wiktionary.org/wiki/Aktuar	0	0	61	0	61	
== Substantive ==	Aktuariat	36		https://de.wiktionary.org/wiki/Aktuariat	0	0	3	0	3	
== Substantive ==	Aktuogeologie	36		https://de.wiktionary.org/wiki/Aktuogeologie	0	0	1	0	1	
== Substantive ==	Aktuopaläontologie	36		https://de.wiktionary.org/wiki/Aktuopal%C3%A4ontologie	0	0	1	0	1	
== Substantive ==	Akustochemie	36		https://de.wiktionary.org/wiki/Akustochemie	0	0	0	0	0	
== Substantive ==	Akzeleration	36		https://de.wiktionary.org/wiki/Akzeleration	0	0	4	0	4	
== Substantive ==	Akzelerationsprinzip	36		https://de.wiktionary.org/wiki/Akzelerationsprinzip	0	0	0	0	0	
== Substantive ==	Akzelerator	36		https://de.wiktionary.org/wiki/Akzelerator	0	0	3	0	3	
== Substantive ==	Akzentbuchstabe	36		https://de.wiktionary.org/wiki/Akzentbuchstabe	0	0	0	0	0	
== Substantive ==	Akzentuation	36		https://de.wiktionary.org/wiki/Akzentuation	0	0	2	0	2	
== Substantive ==	Alarmstart	24		https://de.wiktionary.org/wiki/Alarmstart	0	0	0	0	0	
== Substantive ==	Alemanne	36		https://de.wiktionary.org/wiki/Alemanne	0	0	5	0	5	
== Substantive ==	Algenschokolade	36		https://de.wiktionary.org/wiki/Algenschokolade	0	0	0	0	0	
== Substantive ==	Alleinunfall	14		https://de.wiktionary.org/wiki/Alleinunfall	0	0	1	0	1	
== Substantive ==	Alleinvertretungsanspruch	36		https://de.wiktionary.org/wiki/Alleinvertretungsanspruch	0	0	16	0	16	
== Substantive ==	Allererstes	36		https://de.wiktionary.org/wiki/Allererstes	0	0	0	10	0	
== Substantive ==	Allerseelenzeit	4		https://de.wiktionary.org/wiki/Allerseelenzeit	0	0	0	0	0	
== Substantive ==	Allgemeines Zoll- und Handelsabkommen	36		https://de.wiktionary.org/wiki/Allgemeines%20Zoll-%20und%20Handelsabkommen						
== Substantive ==	Allosexualität	36		https://de.wiktionary.org/wiki/Allosexualit%C3%A4t	0	0	0	0	0	
== Substantive ==	Allosterie	36		https://de.wiktionary.org/wiki/Allosterie	0	0	1	0	1	
== Substantive ==	Alltagstest	36		https://de.wiktionary.org/wiki/Alltagstest	0	0	0	0	0	
== Substantive ==	Almosenier	36		https://de.wiktionary.org/wiki/Almosenier	0	0	11	0	11	
== Substantive ==	Altersguthaben	12		https://de.wiktionary.org/wiki/Altersguthaben	0	0	0	0	0	
== Substantive ==	Altertumskunde	36		https://de.wiktionary.org/wiki/Altertumskunde	0	0	164	0	164	
== Substantive ==	Altpartei	36		https://de.wiktionary.org/wiki/Altpartei	0	0	0	0	0	
== Substantive ==	Altveteran	36		https://de.wiktionary.org/wiki/Altveteran	0	0	0	0	0	
== Substantive ==	Altweltgeier	36		https://de.wiktionary.org/wiki/Altweltgeier	1	0	2	0	3	
== Substantive ==	Aluminium-Getränkedose	36		https://de.wiktionary.org/wiki/Aluminium-Getr%C3%A4nkedose						
== Substantive ==	Aluminium-Luft-Batterie	36		https://de.wiktionary.org/wiki/Aluminium-Luft-Batterie						
== Substantive ==	Aluminiummineral	36		https://de.wiktionary.org/wiki/Aluminiummineral	0	0	0	0	0	
== Substantive ==	Amanadeutsch	7		https://de.wiktionary.org/wiki/Amanadeutsch	0	0	0	0	0	
== Substantive ==	Amerikameisterschaft	36		https://de.wiktionary.org/wiki/Amerikameisterschaft	0	0	18	0	18	
== Substantive ==	Amputat	7		https://de.wiktionary.org/wiki/Amputat	0	0	0	0	0	
== Substantive ==	Amylnitrit	4		https://de.wiktionary.org/wiki/Amylnitrit	0	0	6	0	6	
== Substantive ==	Anamnesebogen	4		https://de.wiktionary.org/wiki/Anamnesebogen	0	0	1	0	1	
== Substantive ==	Anamnesegespräch	4		https://de.wiktionary.org/wiki/Anamnesegespr%C3%A4ch	0	0	1	0	1	
== Substantive ==	Ananaserdbeere	4		https://de.wiktionary.org/wiki/Ananaserdbeere	0	0	0	0	0	
== Substantive ==	Anfangslektüre	4		https://de.wiktionary.org/wiki/Anfangslekt%C3%BCre	0	0	0	0	0	
== Substantive ==	Anisbrötli	13		https://de.wiktionary.org/wiki/Anisbr%C3%B6tli	0	0	0	0	0	
